City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tura,25.5198,90.2201,22.72,44,57,1.0,IN,1682460809
1,port lincoln,-34.7333,135.8667,20.72,54,100,6.45,AU,1682460809
2,waitangi,-43.9535,-176.5597,11.57,91,100,1.79,NZ,1682460655
3,cape canaveral,28.4058,-80.6048,24.49,80,29,4.14,US,1682460810
4,lautoka,-17.6167,177.4667,28.92,61,20,1.54,FJ,1682460810
5,margaret river,-33.95,115.0667,15.87,74,100,8.46,AU,1682460810
6,blackmans bay,-43.0167,147.3167,11.96,83,0,2.18,AU,1682460810
7,wailua homesteads,22.0669,-159.378,27.24,69,100,7.72,US,1682460810
8,carbonear,47.7332,-53.2148,2.35,90,100,6.84,CA,1682460810
9,anadyr,64.75,177.4833,-7.72,61,0,2.68,RU,1682460810
10,adamstown,-25.066,-130.1015,25.2,78,5,4.61,PN,1682460657
11,albany,42.6001,-73.9662,11.76,49,99,1.87,US,1682460538
12,new norfolk,-42.7826,147.0587,12.62,72,0,1.36,AU,1682460811
13,grytviken,-54.2811,-36.5092,4.93,92,82,5.51,GS,1682460811
14,thompson,55.7435,-97.8558,2.37,97,99,2.22,CA,1682460656
15,georgetown,5.4112,100.3354,26.96,94,20,0.0,MY,1682460811
16,punta arenas,-53.15,-70.9167,7.84,70,40,6.69,CL,1682460294
17,college,64.8569,-147.8028,2.27,45,20,3.6,US,1682460638
18,minas de marcona,-15.2119,-75.1103,18.94,71,24,5.94,PE,1682460811
19,talnakh,69.4865,88.3972,-0.44,86,97,2.29,RU,1682460811
20,port-aux-francais,-49.35,70.2167,4.69,82,10,12.86,TF,1682460811
21,san pedro pochutla,15.7333,-96.4667,30.95,49,85,4.59,MX,1682460684
22,whitehorse,60.7161,-135.0538,5.61,38,10,4.92,CA,1682460812
23,ushuaia,-54.8,-68.3,4.81,81,75,8.75,AR,1682460812
24,naze,28.3667,129.4833,17.28,86,100,6.28,JP,1682460637
25,agua dulce,18.1333,-94.1333,26.88,59,54,6.37,MX,1682460812
26,kavaratti,10.5669,72.642,27.45,69,46,2.45,IN,1682460812
27,iqaluit,63.7506,-68.5145,0.29,93,40,2.4,CA,1682460812
28,jamestown,42.097,-79.2353,8.07,68,75,4.63,US,1682460812
29,impfondo,1.6381,18.0667,22.14,97,91,0.13,CG,1682460812
30,tiksi,71.6872,128.8694,-14.29,100,100,1.13,RU,1682460812
31,nuku'alofa,-21.1333,-175.2,26.19,73,40,6.17,TO,1682460812
32,bredasdorp,-34.5322,20.0403,14.45,85,20,1.2,ZA,1682460813
33,ribeira grande,38.5167,-28.7,17.65,94,20,4.92,PT,1682460813
34,jumla,29.2747,82.1838,5.76,79,79,2.05,NP,1682460809
35,mizdah,31.4451,12.9801,21.9,27,30,3.28,LY,1682460813
36,port elizabeth,-33.918,25.5701,19.06,96,100,2.06,ZA,1682460813
37,bethel,41.3712,-73.414,13.89,46,100,2.06,US,1682460813
38,kodiak,57.79,-152.4072,4.73,81,75,6.69,US,1682460814
39,codrington,-38.2667,141.9667,15.16,70,50,3.67,AU,1682460814
40,edinburgh of the seven seas,-37.0676,-12.3116,14.95,65,85,12.16,SH,1682460814
41,puerto natales,-51.7236,-72.4875,7.25,57,20,5.66,CL,1682460814
42,enewetak,11.3474,162.3373,26.75,82,99,7.89,MH,1682460814
43,coos bay,43.3665,-124.2179,22.95,63,0,10.8,US,1682460814
44,trujillo,-8.116,-79.03,23.98,78,75,5.14,PE,1682460815
45,jinka,5.65,36.65,16.19,96,100,1.09,ET,1682460815
46,cannonvale,-20.2833,148.7,20.66,78,63,7.28,AU,1682460815
47,chernyshevsk,52.5243,117.0174,-2.67,49,58,2.62,RU,1682460815
